Series ID,Year,Period,Value,,
PCU455---455---,2014,M01,126.5,,
PCU455---455---,2014,M02,126.6,,
PCU455---455---,2014,M03,131.7,,
PCU455---455---,2014,M04,123.5,,
PCU455---455---,2014,M05,123.8,,
PCU455---455---,2014,M06,114.9,,
PCU455---455---,2014,M07,123.0,,
PCU455---455---,2014,M08,117.0,,
PCU455---455---,2014,M09,124.5,,
PCU455---455---,2014,M10,137.0,,
PCU455---455---,2014,M11,131.1,,
PCU455---455---,2014,M12,130.1,,
PCU455---455---,2015,M01,128.4,,
PCU455---455---,2015,M02,126.7,,
PCU455---455---,2015,M03,127.3,,
PCU455---455---,2015,M04,129.8,,
PCU455---455---,2015,M05,124.8,,
PCU455---455---,2015,M06,122.5,,
PCU455---455---,2015,M07,123.6,,
PCU455---455---,2015,M08,119.2,,
PCU455---455---,2015,M09,118.9,,
PCU455---455---,2015,M10,124.4,,
PCU455---455---,2015,M11,122.0,,
PCU455---455---,2015,M12,119.9,,
PCU455---455---,2016,M01,125.3,,
PCU455---455---,2016,M02,121.8,,
PCU455---455---,2016,M03,125.1,,
PCU455---455---,2016,M04,127.8,,
PCU455---455---,2016,M05,127.1,,
PCU455---455---,2016,M06,124.0,,
PCU455---455---,2016,M07,126.1,,
PCU455---455---,2016,M08,120.8,,
PCU455---455---,2016,M09,123.1,,
PCU455---455---,2016,M10,130.1,,
PCU455---455---,2016,M11,123.2,,
PCU455---455---,2016,M12,123.0,,
PCU455---455---,2017,M01,127.8,,
PCU455---455---,2017,M02,124.3,,
PCU455---455---,2017,M03,125.8,,
PCU455---455---,2017,M04,130.1,,
PCU455---455---,2017,M05,125.6,,
PCU455---455---,2017,M06,123.3,,
PCU455---455---,2017,M07,126.2,,
PCU455---455---,2017,M08,122.7,,
PCU455---455---,2017,M09,120.9,,
PCU455---455---,2017,M10,128.6,,
PCU455---455---,2017,M11,124.8,,
PCU455---455---,2017,M12,123.0,,
PCU455---455---,2018,M01,128.8,,
PCU455---455---,2018,M02,123.0,,
PCU455---455---,2018,M03,123.6,,
PCU455---455---,2018,M04,126.9,,
PCU455---455---,2018,M05,124.5,,
PCU455---455---,2018,M06,123.6,,
PCU455---455---,2018,M07,125.6,,
PCU455---455---,2018,M08,121.3,,
PCU455---455---,2018,M09,121.6,,
PCU455---455---,2018,M10,124.8,,
PCU455---455---,2018,M11,120.9,,
PCU455---455---,2018,M12,122.3,,
PCU455---455---,2019,M01,128.7,,
PCU455---455---,2019,M02,127.3,,
PCU455---455---,2019,M03,125.7,,
PCU455---455---,2019,M04,130.2,,
PCU455---455---,2019,M05,126.5,,
PCU455---455---,2019,M06,125.2,,
PCU455---455---,2019,M07,126.6,,
PCU455---455---,2019,M08,125.7,,
PCU455---455---,2019,M09,127.2,,
PCU455---455---,2019,M10,130.8,,
PCU455---455---,2019,M11,125.0,,
PCU455---455---,2019,M12,124.3,,
PCU455---455---,2020,M01,129.8,,
PCU455---455---,2020,M02,128.1,,
PCU455---455---,2020,M03,125.3,,
PCU455---455---,2020,M04,128.6,,
PCU455---455---,2020,M05,127.0,,
PCU455---455---,2020,M06,124.7,,
PCU455---455---,2020,M07,123.6,,
PCU455---455---,2020,M08,121.5,,
PCU455---455---,2020,M09,121.1,,
PCU455---455---,2020,M10,123.0,,
PCU455---455---,2020,M11,121.8,,
PCU455---455---,2020,M12,121.0,,
PCU455---455---,2021,M01,126.8,,
PCU455---455---,2021,M02,125.2,,
PCU455---455---,2021,M03,128.4,,
PCU455---455---,2021,M04,136.7,,
PCU455---455---,2021,M05,132.1,,
PCU455---455---,2021,M06,128.1,,
PCU455---455---,2021,M07,131.369,,
PCU455---455---,2021,M08,131.947,,
PCU455---455---,2021,M09,133.430,,
PCU455---455---,2021,M10,134.674,,
PCU455---455---,2021,M11,136.164,,
PCU455---455---,2021,M12,136.462,,
PCU455---455---,2022,M01,140.005,,
PCU455---455---,2022,M02,143.464,,
PCU455---455---,2022,M03,145.358,,
PCU455---455---,2022,M04,145.095,,
PCU455---455---,2022,M05,148.471,,
PCU455---455---,2022,M06,147.162,,
PCU455---455---,2022,M07,153.161,,
PCU455---455---,2022,M08,154.246,,
PCU455---455---,2022,M09,154.034,,
PCU455---455---,2022,M10,156.524,,
PCU455---455---,2022,M11,153.637,,
PCU455---455---,2022,M12,154.372,,
PCU455---455---,2023,M01,154.189,,
PCU455---455---,2023,M02,151.872,,
PCU455---455---,2023,M03,155.866,,
PCU455---455---,2023,M04,155.441,,
PCU455---455---,2023,M05,156.930,,
PCU455---455---,2023,M06,155.466,,
PCU455---455---,2023,M07,153.534,,
PCU455---455---,2023,M08,152.664,,
PCU455---455---,2023,M09,152.882,,
PCU455---455---,2023,M10,153.138,,
PCU455---455---,2023,M11,149.516,,
PCU455---455---,2023,M12,150.634,,
PCU455---455---,2024,M01,153.249,,
PCU455---455---,2024,M02,155.478,,
PCU455---455---,2024,M03,158.614,,
PCU455---455---,2024,M04,159.842,,
PCU455---455---,2024,M05,160.803,,
PCU455---455---,2024,M06,160.568,,
PCU455---455---,2024,M07,158.356,,
PCU455---455---,2024,M08,156.886,,
PCU455---455---,2024,M09,157.534,,
PCU455---455---,2024,M10,160.272,,
PCU455---455---,2024,M11,156.434,,
PCU455---455---,2024,M12,158.858,,
