Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2724,2718,2725,2721,2717,2722,2725,2733,2734,2727,2735,2737
2015,2740,2741,2737,2742,2747,2748,2752,2751,2764,2766,2751,2761
2016,2762,2775,2785,2789,2751,2801,2799,2803,2817,2814,2812,2817
2017,2821,2815,2813,2804,2801,2811,2809,2813,2816,2811,2815,2818
2018,2817,2819,2826,2838,2841,2838,2841,2840,2838,2850,2850,2851
2019,2842,2843,2849,2846,2858,2875,2866,2865,2871,2874,2885,2891
2020,2897,2907,2899,2641,2607,2626,2618,2641,2697,2695,2701,2715
2021,2746,2763,2772,2794,2818,2840,2868,2898,2920,2935,2953,2968
2022,2987,2991,3022,3034,3060,3083,3089,3089,3098,3095,3108,3095
2023,3067,3049,3054,3053,3050,3043,3015,2997,3008,2982,2999,3012
2024,3020,3017,3019,3016,3015,3015,2999,2991,2992,2990,2994,3004
